"Quota displaying VisuGPS exceeded","Quota affichage VisuGPS dépassé",,src/main/java/dialogues/alertbox.java:209,
"The file is too large","Le fichier est trop volumineux",,src/main/java/dialogues/alertbox.java:212,
"Error while transferring file","Erreur pendant le transfert du fichier",,src/main/java/dialogues/alertbox.java:215,
"Decoding problem in Open Air file","Erreur de décodage du fichier Open Air...",,src/main/java/dialogues/alertbox.java:218,
"Error during GeoJSON generation","Erreur de génération GeoJson",,src/main/java/dialogues/alertbox.java:221,
"Unable to generate GPX","Génération GPX impossible",,src/main/java/dialogues/alertbox.java:225,
empty,Vide,,src/main/java/dialogues/alertbox.java:225,
"Completed task","Tâche terminée",,src/main/java/dialogues/alertbox.java:232,
"Important information","Information importante",,src/main/java/dialogues/alertbox.java:244,
Yes,Oui,,"src/main/java/dialogues/dialogbox.java:38
src/main/java/controller/ConfigViewController.java:635",
No,Non,,"src/main/java/dialogues/dialogbox.java:39
src/main/java/littlewins/winPoints.java:142",
"Altitude gain","Gain d'altitude",,src/main/java/trackgps/remarkable.java:281,
"Average climb","Taux de montée moyen",,src/main/java/trackgps/remarkable.java:282,
"Maximum climb","Taux de montée maximum",,src/main/java/trackgps/remarkable.java:283,
"Peak climb","Taux de montée instantané",,src/main/java/trackgps/remarkable.java:284,
Efficiency,Efficacité,,src/main/java/trackgps/remarkable.java:285,
"Start altitude","Altitude de départ",,"src/main/java/trackgps/remarkable.java:286
src/main/java/trackgps/remarkable.java:331
src/main/java/trackgps/remarkable.java:373",
"Finish altitude","Altitude d'arrivée",,"src/main/java/trackgps/remarkable.java:287
src/main/java/trackgps/remarkable.java:332
src/main/java/trackgps/remarkable.java:374",
"Start time","Heure de départ",,"src/main/java/trackgps/remarkable.java:288
src/main/java/trackgps/remarkable.java:333
src/main/java/trackgps/remarkable.java:375",
"Finish time","Heure d'arrivée",,"src/main/java/trackgps/remarkable.java:289
src/main/java/trackgps/remarkable.java:334
src/main/java/trackgps/remarkable.java:376",
Duration,Durée,,"src/main/java/trackgps/remarkable.java:290
src/main/java/trackgps/remarkable.java:335
src/main/java/trackgps/remarkable.java:377
src/main/java/controller/CarnetViewController.java:2233
src/main/java/controller/GPSViewController.java:609
src/main/java/controller/DashController.java:708
src/main/java/controller/DashController.java:709
src/main/java/controller/DashController.java:713
src/main/java/controller/ManualViewController.java:548
src/main/java/leaflet/map_visu.java:696
src/main/java/littlewins/winCsv.java:298",
"Accumulated altitude gain","Gain d'altitude cumulé",,"src/main/java/trackgps/remarkable.java:291
src/main/java/trackgps/remarkable.java:336
src/main/java/trackgps/remarkable.java:378",
"Accumulated altitude loss","Perte d'altitude cumulée",,"src/main/java/trackgps/remarkable.java:292
src/main/java/trackgps/remarkable.java:337
src/main/java/trackgps/remarkable.java:379",
Drift,Dérive,,src/main/java/trackgps/remarkable.java:293,
"Altitude change","Changement d'altitude",,src/main/java/trackgps/remarkable.java:326,
"Average descent","Descente moyenne",,"src/main/java/trackgps/remarkable.java:327
src/main/java/trackgps/remarkable.java:370",
Distance,Distance,,"src/main/java/trackgps/remarkable.java:328
src/main/java/kml/trackScore.java:389 src/main/java/kml/trackScore.java:395",
"Average glide ratio","Finesse moyenne",,src/main/java/trackgps/remarkable.java:329,
"Average speed","Vitesse moyenne",,src/main/java/trackgps/remarkable.java:330,
"Maximum descent","Taux de chute maximum",,src/main/java/trackgps/remarkable.java:371,
"Peak descent","Taux de chute instantané",,src/main/java/trackgps/remarkable.java:372,
airspaces,espaces,,src/main/java/controller/AirspaceController.java:388,
displayed,affichés,,src/main/java/controller/AirspaceController.java:389,
Polygon,Polygone,,src/main/java/controller/AirspaceController.java:817,
Circle,Cercle,,src/main/java/controller/AirspaceController.java:862,
"Reversale uploading not supported in Linux","Transfert vers Reversale non supporté sous Linux",,src/main/java/controller/AirspaceController.java:1005,
"FRDATA. bin and FRIDX. bin generation successful","Génération des fichiers FRDATA.bin et FRIDX.bin réussie",,src/main/java/controller/AirspaceController.java:1109,
"Merge into memory successful","Fusion en mémoire OK",,src/main/java/controller/AirspaceController.java:1192,
"decoded airspaces","espaces décodés",,src/main/java/controller/AirspaceController.java:1193,
"Decoding problem","Problème de décodage",,src/main/java/controller/AirspaceController.java:1198,
OpenAir,OpenAir,,src/main/java/controller/AirspaceController.java:1311,
Draw,Dessiner,,src/main/java/controller/AirspaceController.java:1320,
